,x coord,y coord,quality,x mm,y mm
0,196,302,0.84375,40.833333333333336,62.91666666666667
1,216,266,0.8125,45.0,55.41666666666667
2,177,455,0.8125,36.875,94.79166666666667
3,308,172,0.9000000000000005,64.16666666666667,35.833333333333336
4,79,510,0.75,16.458333333333336,106.25
5,211,431,0.75,43.958333333333336,89.79166666666667
6,146,450,0.8750000000000004,30.416666666666668,93.75
7,515,313,0.8750000000000004,107.29166666666667,65.20833333333334
8,162,262,0.8750000000000004,33.75,54.583333333333336
9,253,328,0.71875,52.708333333333336,68.33333333333334
10,333,371,0.8500000000000004,69.375,77.29166666666667
11,323,211,0.8500000000000004,67.29166666666667,43.958333333333336
12,77,87,0.8250000000000004,16.041666666666668,18.125
13,497,417,0.8250000000000004,103.54166666666667,86.875
14,174,223,0.8250000000000004,36.25,46.458333333333336
15,138,524,0.6875,28.75,109.16666666666667
16,34,170,0.8000000000000004,7.083333333333334,35.41666666666667
17,109,214,0.65625,22.708333333333336,44.583333333333336
18,372,237,0.65625,77.5,49.375
19,186,526,0.65625,38.75,109.58333333333334
20,266,149,0.7750000000000004,55.41666666666667,31.041666666666668
21,529,283,0.8958333333333338,110.20833333333334,58.958333333333336
22,523,-48,0.8958333333333338,108.95833333333334,-10.0
23,172,197,0.7500000000000003,35.833333333333336,41.04166666666667
24,-3,498,0.7500000000000003,-0.625,103.75
25,-25,359,0.8541666666666671,-5.208333333333334,74.79166666666667
26,404,300,0.8541666666666671,84.16666666666667,62.5
27,530,411,0.8333333333333337,110.41666666666667,85.625
28,8,530,0.59375,1.6666666666666667,110.41666666666667
29,309,262,0.59375,64.375,54.583333333333336
30,318,310,0.8125000000000003,66.25,64.58333333333334
31,297,435,0.791666666666667,61.875,90.625
32,268,415,0.6750000000000003,55.833333333333336,86.45833333333334
33,132,318,0.6750000000000003,27.5,66.25
34,425,431,0.6750000000000003,88.54166666666667,89.79166666666667
35,37,-18,0.5625,7.708333333333334,-3.75
36,510,-22,0.7708333333333336,106.25,-4.583333333333334
37,-51,372,0.7708333333333336,-10.625,77.5
38,-23,322,0.7708333333333336,-4.791666666666667,67.08333333333334
39,446,257,0.7708333333333336,92.91666666666667,53.54166666666667
40,244,203,0.6500000000000002,50.833333333333336,42.29166666666667
41,126,285,0.6500000000000002,26.25,59.375
42,458,346,0.6500000000000002,95.41666666666667,72.08333333333334
43,381,482,0.6500000000000002,79.375,100.41666666666667
44,116,432,0.7500000000000002,24.166666666666668,90.0
45,411,-13,0.7500000000000002,85.625,-2.7083333333333335
46,266,480,0.53125,55.41666666666667,100.0
47,-3,28,0.7291666666666669,-0.625,5.833333333333334
48,252,41,0.7291666666666669,52.5,8.541666666666668
49,55,298,0.6250000000000002,11.458333333333334,62.083333333333336
50,61,45,0.7291666666666669,12.708333333333334,9.375
51,147,161,0.7291666666666669,30.625,33.54166666666667
52,375,128,0.7291666666666669,78.125,26.666666666666668
53,50,437,0.7083333333333335,10.416666666666668,91.04166666666667
54,91,387,0.7083333333333335,18.958333333333336,80.625
55,279,336,0.7083333333333335,58.125,70.0
56,134,85,0.7083333333333335,27.916666666666668,17.708333333333336
57,2,243,0.5,0.4166666666666667,50.625
58,213,399,0.5,44.375,83.125
59,235,-9,0.5,48.958333333333336,-1.875
60,380,-54,0.5,79.16666666666667,-11.25
61,7,271,0.5,1.4583333333333335,56.458333333333336
62,164,-54,0.5,34.16666666666667,-11.25
63,148,51,0.6875000000000001,30.833333333333336,10.625
64,341,522,0.6875000000000001,71.04166666666667,108.75
65,376,345,0.6875000000000001,78.33333333333334,71.875
66,77,13,0.7708333333333336,16.041666666666668,2.7083333333333335
67,479,239,0.6666666666666667,99.79166666666667,49.79166666666667
68,387,418,0.6666666666666667,80.625,87.08333333333334
69,530,176,0.6666666666666667,110.41666666666667,36.66666666666667
70,439,200,0.6666666666666667,91.45833333333334,41.66666666666667
71,298,118,0.6666666666666667,62.083333333333336,24.583333333333336
72,262,108,0.6666666666666667,54.583333333333336,22.5
73,439,8,0.6666666666666667,91.45833333333334,1.6666666666666667
74,333,-6,0.46875,69.375,-1.25
75,2,2,0.46875,0.4166666666666667,0.4166666666666667
76,35,533,0.46875,7.291666666666667,111.04166666666667
77,313,500,0.46875,65.20833333333334,104.16666666666667
78,367,45,0.46875,76.45833333333334,9.375
79,51,392,0.6458333333333334,10.625,81.66666666666667
80,48,494,0.6458333333333334,10.0,102.91666666666667
81,495,351,0.5500000000000002,103.125,73.125
82,-47,217,0.5500000000000002,-9.791666666666668,45.208333333333336
83,82,347,0.7291666666666669,17.083333333333336,72.29166666666667
84,223,472,0.625,46.458333333333336,98.33333333333334
85,260,509,0.625,54.16666666666667,106.04166666666667
86,81,177,0.625,16.875,36.875
87,29,70,0.625,6.041666666666667,14.583333333333334
88,344,414,0.5250000000000001,71.66666666666667,86.25
89,303,401,0.5250000000000001,63.125,83.54166666666667
90,518,500,0.4375,107.91666666666667,104.16666666666667
91,453,486,0.4375,94.375,101.25
92,437,116,0.4375,91.04166666666667,24.166666666666668
93,112,1,0.4375,23.333333333333336,0.20833333333333334
94,301,52,0.6041666666666666,62.708333333333336,10.833333333333334
95,537,467,0.5000000000000001,111.875,97.29166666666667
96,290,530,0.5000000000000001,60.41666666666667,110.41666666666667
97,451,419,0.6666666666666667,93.95833333333334,87.29166666666667
98,424,148,0.6666666666666667,88.33333333333334,30.833333333333336
99,434,53,0.6458333333333334,90.41666666666667,11.041666666666668
